city_id,x_value,y_value
0,0.084396,1.541774
1,0.785294,0.906839
2,0.600765,0.373787
3,1.580714,0.326992
4,0.809242,0.771620
7,0.336675,1.247247
5,0.506535,1.402258
16,1.278087,1.919465
17,1.451181,1.016466
6,1.525963,1.517054
15,1.694937,1.585022
14,1.132945,1.288759
8,1.070263,0.434158
13,1.064078,0.710365
12,1.347349,1.707371
11,1.964402,1.158939
25,1.911818,0.830027
27,1.267275,0.244171
18,0.828630,0.723363
20,0.396539,0.716042
9,0.058757,1.110127
10,0.041879,0.235962
44,0.154841,0.012601
49,0.951827,0.352000
22,0.907101,0.532892
21,0.458211,1.380351
24,0.419880,1.866925
26,1.352484,1.619004
23,1.310561,1.543090
19,1.704316,1.488794
34,1.516744,1.993959
29,0.557405,1.782053
38,0.682606,1.331819
41,0.499661,0.565442
28,0.151282,0.470325
30,0.248404,0.368441
31,0.803565,0.208131
32,1.467608,0.248192
33,0.881931,0.730474
36,1.254546,0.735091
39,1.409994,0.579049
40,1.938858,0.190007
45,1.965103,0.383914
46,0.515974,1.342868
47,1.011992,1.443600
48,0.007183,1.321455
43,1.014596,1.357984
42,1.845300,1.423588
37,1.395519,1.972664
35,1.096779,1.864899
